date,net_gex,spot_price,forward_return_t1,forward_return_t3,prediction_correct,detected,realized_vol_t1,realized_vol_t3,realized_vol_rolling_3d,realized_vol_rolling_5d,gex_regime,gex_concentration,net_call_gex,net_put_gex,put_call_ratio,data_quality_score,options_count,n_concentrated_strikes
2024-01-02,-32490541890.9172,472.87,-0.8586,-0.9876,,True,0.8586,0.9876,,,Negative,-0.8704513289414397,-16376625115.12067,-16637868015.87288,1.0159521817783448,100.0,7950.0,5.0
2024-01-03,-32652448731.13293,468.88,-0.2624,1.2116,,True,0.2624,1.2116,,,Negative,-0.8645294086251596,-14739880144.60129,-18534339954.20477,1.2574281318693938,100.0,7788.0,4.0
2024-01-04,-33785170472.30445,467.62,0.1326,1.3409,,True,0.1326,1.3409,0.4989917968597613,,Negative,-0.8659715036221453,-15454925129.097614,-18965060080.816647,1.2271207995120184,100.0,7778.0,3.0
2024-01-05,-32466791732.84775,468.21,1.3434,1.8048,,False,1.3434,1.8048,0.8367252914387932,,Negative,-0.8552873006874429,-15134414708.673393,-17942851995.83107,1.185566296498284,100.0,7618.0,4.0
2024-01-08,-32192016405.009857,474.56,-0.1349,0.3899,,False,0.1349,0.3899,0.787714391980579,0.8119210626655772,Negative,-0.8587335096898435,-18199742753.286964,-14547874900.79818,0.7993450840491007,100.0,7274.0,4.0
2024-01-09,-35609607262.41392,473.99,0.5909,0.5381,,False,0.5909,0.5381,0.7391901852703402,0.6521135000902833,Negative,-0.8629553614363636,-18602688980.754097,-17728607354.01453,0.9530131569880101,100.0,7262.0,4.0
2024-01-10,-33733327745.497684,476.67,-0.065,,,True,0.065,,0.4003907383211222,0.6117095593498602,Negative,-0.8599956333940009,-19273535615.020836,-15088216016.164263,0.7828462985486304,100.0,8074.0,3.0
2024-01-11,-36627111293.01375,476.29,0.0126,-0.2813,,True,0.0126,0.2813,0.3583893274080577,0.6257128614628279,Negative,-0.8689219685029477,-20028284372.64661,-17246082747.92819,0.8610863730036618,100.0,8464.0,4.0
2024-01-12,-34361942457.305466,476.23,,-0.8837,,False,,0.8837,,,Negative,-0.8645157963769436,-18447487995.803505,-16415626215.809538,0.8898569940548989,100.0,8356.0,3.0
2024-01-16,-37298934082.48842,475.01,-0.5916,1.6063,,True,0.5916,1.6063,,,Negative,-0.8657246378181738,-18524325702.82511,-19475001161.766445,1.0513203813295264,100.0,8238.0,3.0
2024-01-17,-38830831272.820496,472.27,0.8386,2.3719,,True,0.8386,2.3719,,,Negative,-0.8678499003695319,-17079885374.395636,-22357029200.586697,1.3089683396881573,100.0,8058.0,2.0
2024-01-18,-38323236240.31163,476.17,1.3609,1.8503,,True,1.3609,1.8503,1.0108186105000905,,Negative,-0.870997896105832,-20800186447.84418,-18247488601.112038,0.8772752420689616,100.0,7896.0,3.0
2024-01-19,-25127257749.457226,482.62,0.1575,0.46,,True,0.1575,0.46,0.6034437366758674,,Negative,-0.8162005210461872,-14978678674.66723,-10490051245.832502,0.7003322171249896,100.0,7806.0,1.0
2024-01-22,-28474873875.935863,483.4,0.3248,0.9164,,True,0.3248,0.9164,0.6518772967361267,0.7351536254416488,Negative,-0.8249289875653483,-16486456142.082077,-12412609757.143318,0.7528973874172893,100.0,8068.0,2.0
2024-01-23,-31824726598.69871,484.99,-0.0227,0.4743,,True,0.0227,0.4743,0.1737899018930627,0.5639044218659756,Negative,-0.8325867711198729,-18864422328.96502,-13576577591.703611,0.7196921991540506,100.0,7892.0,3.0
2024-01-24,-32044484769.37342,484.85,0.6126,1.2313,,True,0.6126,1.2313,0.3181171639506431,0.5417907871125165,Negative,-0.8321540944769988,-18071774565.754456,-14301029746.185452,0.7913461787690476,100.0,7926.0,2.0
2024-01-25,-33783815348.110336,487.81,-0.1148,0.4612,,True,0.1148,0.4612,0.3960638121986578,0.2898065855014343,Negative,-0.8323522535084769,-19246171238.13821,-15141499249.97344,0.786727867201402,100.0,8388.0,3.0
2024-01-26,-32909897910.91359,487.24,0.7306,-0.7983,,True,0.7306,0.7983,0.4578456654084799,0.3740850304409415,Negative,-0.829903909167409,-17986495194.067005,-15516767065.149956,0.8626898624623818,100.0,8662.0,3.0
2024-01-29,-29958014145.94736,490.9,-0.1528,-0.1304,,True,0.1528,0.1304,0.4994231205434263,0.4255518793284787,Negative,-0.8254620803049424,-17152857338.092817,-13366544629.143246,0.7792605258518076,100.0,8632.0,3.0
2024-01-30,-30828735788.84371,490.08,-1.3672,,,True,1.3672,,1.053243226103702,0.8363330269695202,Negative,-0.828496049287613,-16926382680.066185,-14498059205.714468,0.856536182582502,100.0,8310.0,3.0
2024-01-31,-34287895526.23736,483.39,1.4089,1.9136,,True,1.4089,1.9136,1.3916659956086208,1.0456569552200188,Negative,-0.8203634395911429,-14661109572.52205,-20163978267.10194,1.3753378055978385,100.0,8670.0,1.0
