# Example Raw Chain Prompt
# Date: 2024-03-15
# Baseline Detection: high

Analyze this options market data to identify any structural constraints or forced actions.

**IMPORTANT**: You are provided ONLY with raw option chain data. You must reason about market structure from the distribution of open interest, implied volatility, and bid/ask spreads. NO pre-calculated metrics are provided.

---

**Date**: Day T+0
**Asset**: INDEX_1
**Spot Price**: $509.93

---

**Options Chain (Aggregated by Strike)**:

| Strike | Type | Open Interest | Avg IV | Volume | Bid/Ask Spread |
|--------|------|---------------|--------|--------|----------------|
| $485 | Call |        80,057 |  18.2% |    587 | $  0.78 |
| $485 | Put  |       256,504 |  18.4% | 27,287 | $  0.24 |
| $486 | Call |         5,864 |  18.2% |    151 | $  0.34 |
| $486 | Put  |        61,272 |  17.8% | 13,161 | $  0.03 |
| $487 | Call |         8,346 |  18.2% |    317 | $  0.33 |
| $487 | Put  |        75,055 |  17.5% |  8,470 | $  0.03 |
| $488 | Call |           102 |  19.5% |      1 | $  0.21 |
| $488 | Put  |         2,218 |  16.6% |    351 | $  0.01 |
| $488 | Call |         8,718 |  17.9% |     50 | $  0.32 |
| $488 | Put  |       124,710 |  17.2% | 18,729 | $  0.03 |
| $489 | Call |         5,481 |  17.8% |    268 | $  0.31 |
| $489 | Put  |        51,590 |  16.8% | 12,014 | $  0.03 |
| $490 | Call |       114,307 |  16.4% |  1,073 | $  0.70 |
| $490 | Put  |       336,364 |  17.5% | 53,974 | $  0.22 |
| $491 | Call |        12,688 |  17.2% |    268 | $  0.28 |
| $491 | Put  |        60,465 |  16.3% | 11,829 | $  0.03 |
| $492 | Call |         3,518 |  17.1% |    137 | $  0.26 |
| $492 | Put  |        82,197 |  16.1% | 47,520 | $  0.03 |
| $492 | Call |            12 |  16.3% |      8 | $  0.21 |
| $492 | Put  |         3,111 |  15.6% |  1,580 | $  0.02 |
| $493 | Call |        14,543 |  16.7% |    173 | $  0.27 |
| $493 | Put  |        66,046 |  15.8% | 37,243 | $  0.03 |
| $494 | Call |         9,914 |  16.1% |    256 | $  0.26 |
| $494 | Put  |        78,609 |  15.5% | 33,600 | $  0.03 |
| $495 | Call |        82,660 |  15.8% |  3,496 | $  0.69 |
| $495 | Put  |       206,053 |  16.3% | 41,555 | $  0.25 |
