date,pattern_type,detected,criterion_1_volatility_amplification,criterion_2_directional_followthrough,criterion_3_strike_convergence,criterion_4_range_expansion,realized_vol_t1,forecast_vol,price_change,distance_t,distance_t1,intraday_range,avg_5day_range
2024-04-24,0dte_hedging,False,False,True,False,False,0.8389228547120178,1.31059361125966,-0.2399999999999522,,,4.240000000000009,6.554439999999988
2024-05-24,gamma_positioning,False,False,True,False,False,0.6401103052281675,0.7257054694825315,3.480000000000018,,,3.38900000000001,3.834019999999987
2024-12-11,gamma_positioning,False,False,True,False,False,0.483159384980072,0.4833721786560406,4.660000000000082,,,2.934999999999945,2.9269999999999983
2024-04-05,stock_pinning,False,True,True,False,True,1.240283162625632,0.8566141763422095,5.3599999999999,,,6.430000000000064,4.427480000000014
2024-05-15,0dte_hedging,False,True,True,False,True,0.924912227717183,0.5896050454237468,6.480000000000018,,,4.900000000000091,3.0694799999999987
2024-04-26,gamma_positioning,False,False,True,False,False,0.8224137252587271,1.240996290795073,4.769999999999982,,,4.180000000000007,6.224439999999982
2024-04-12,stock_pinning,False,True,True,False,False,1.3183909170989665,1.026870137007828,-7.149999999999977,,,6.735000000000071,5.317999999999984
2024-10-10,stock_pinning,False,False,True,False,False,0.5363372849877688,0.8503512074938305,-1.009999999999991,,,3.090000000000032,4.8625
2024-05-31,gamma_positioning,False,True,True,False,True,1.733128543527312,0.795737628599541,4.759999999999991,,,9.139999999999986,4.189799999999991
2024-12-04,stock_pinning,False,True,True,False,False,0.4871145048217626,0.4810914633084195,3.75,,,2.9599999999999227,2.8938000000000104
2024-05-31,0dte_hedging,False,True,True,False,True,1.733128543527312,0.795737628599541,4.759999999999991,,,9.139999999999986,4.189799999999991
2024-06-24,gamma_positioning,False,True,True,False,False,0.7978037365957992,0.7082793605625624,-1.7699999999999818,,,4.330000000000041,3.86855999999998
2024-01-09,0dte_hedging,False,False,True,False,False,0.7554655186967132,0.873958934844414,-0.7200000000000273,,,3.579999999999984,4.1139999999999874
2024-12-11,0dte_hedging,False,False,True,False,False,0.483159384980072,0.4833721786560406,4.660000000000082,,,2.934999999999945,2.9269999999999983
2024-08-19,stock_pinning,False,True,True,False,False,1.0275012955451115,0.8763491211147514,5.300000000000068,,,5.75,4.772000000000003
2024-11-14,0dte_hedging,False,True,True,False,True,0.8696384933007445,0.6524908964729462,-3.840000000000032,,,5.159999999999968,3.897019999999975
2024-05-06,0dte_hedging,False,False,True,False,False,0.6407650463635246,1.1791598850495253,5.28000000000003,,,3.310000000000059,5.94699999999998
2024-10-01,0dte_hedging,False,True,True,False,True,1.417853751187078,0.7568717140331865,-5.139999999999986,,,8.062199999999962,4.330000000000018
2024-02-12,stock_pinning,False,True,True,False,False,0.650724579823544,0.5719046162755073,-0.2199999999999704,,,3.259999999999991,2.839559999999972
