date,spot_price,flip_point,distance_from_spot,flip_type
2024-01-02,472.87,120.0,352.87,first_strike
2024-01-03,468.81,120.0,348.81,first_strike
2024-01-04,467.58000000000004,120.0,347.58000000000004,first_strike
2024-01-05,468.2,120.0,348.2,first_strike
2024-01-08,474.49,120.0,354.49,first_strike
2024-01-09,473.84999999999997,120.0,353.84999999999997,first_strike
2024-01-10,476.65,120.0,356.65,first_strike
2024-01-11,476.34,120.0,356.34,first_strike
2024-01-12,476.4,120.0,356.4,first_strike
2024-01-16,475.0,120.0,355.0,first_strike
2024-01-17,472.19,120.0,352.19,first_strike
2024-01-18,476.15,120.0,356.15,first_strike
2024-01-19,482.63,120.0,362.63,first_strike
2024-01-22,483.39,120.0,363.39,first_strike
2024-01-23,484.96,120.0,364.96,first_strike
2024-01-24,484.85,120.0,364.85,first_strike
2024-01-25,487.82,120.0,367.82,first_strike
2024-01-26,487.26,120.0,367.26,first_strike
2024-01-29,490.82,120.0,370.82,first_strike
2024-01-30,490.07,120.0,370.07,first_strike
2024-01-31,483.37,120.0,363.37,first_strike
2024-02-01,490.18,120.0,370.18,first_strike
2024-02-02,494.18,120.0,374.18,first_strike
2024-02-05,492.62,120.0,372.62,first_strike
2024-02-06,493.61,120.0,373.61,first_strike
2024-02-07,497.85,120.0,377.85,first_strike
2024-02-08,498.36,120.0,378.36,first_strike
2024-02-09,501.03,120.0,381.03,first_strike
2024-02-12,500.63,120.0,380.63,first_strike
2024-02-13,494.01,120.0,374.01,first_strike
2024-02-14,498.89,120.0,378.89,first_strike
2024-02-15,502.24,120.0,382.24,first_strike
2024-02-16,498.92,120.0,378.92,first_strike
2024-02-20,496.39,120.0,376.39,first_strike
2024-02-21,497.02,120.0,377.02,first_strike
2024-02-22,507.43,120.0,387.43,first_strike
2024-02-23,507.71000000000004,120.0,387.71000000000004,first_strike
2024-02-26,505.99,120.0,385.99,first_strike
2024-02-27,506.96,120.0,386.96,first_strike
2024-02-28,505.32,120.0,385.32,first_strike
2024-02-29,508.02,120.0,388.02,first_strike
2024-03-01,512.53,120.0,392.53,first_strike
2024-03-04,512.04,120.0,392.03999999999996,first_strike
2024-03-05,507.6,120.0,387.6,first_strike
2024-03-06,509.90000000000003,120.0,389.90000000000003,first_strike
2024-03-07,514.56,120.0,394.55999999999995,first_strike
2024-03-08,512.44,120.0,392.44000000000005,first_strike
2024-03-11,511.34000000000003,120.0,391.34000000000003,first_strike
2024-03-12,516.83,120.0,396.83000000000004,first_strike
2024-03-13,516.1,120.0,396.1,first_strike
2024-03-14,514.6800000000001,120.0,394.68000000000006,first_strike
2024-03-15,509.93,120.0,389.93,first_strike
2024-03-18,512.96,120.0,392.96000000000004,first_strike
2024-03-19,515.8199999999999,120.0,395.81999999999994,first_strike
2024-03-20,520.92,120.0,400.91999999999996,first_strike
2024-03-21,522.3,120.0,402.29999999999995,first_strike
2024-03-22,521.04,120.0,401.03999999999996,first_strike
2024-03-25,519.89,120.0,399.89,first_strike
2024-03-26,519.14,120.0,399.14,first_strike
2024-03-27,523.26,120.0,403.26,first_strike
2024-03-28,523.22,120.0,403.22,first_strike
2024-04-01,522.1999999999999,120.0,402.19999999999993,first_strike
2024-04-02,518.98,120.0,398.98,first_strike
2024-04-03,519.89,120.0,399.89,first_strike
2024-04-04,513.42,120.0,393.41999999999996,first_strike
2024-04-05,518.44,120.0,398.44000000000005,first_strike
2024-04-08,518.96,120.0,398.96000000000004,first_strike
2024-04-09,520.1899999999999,120.0,400.18999999999994,first_strike
2024-04-10,513.28,120.0,393.28,first_strike
2024-04-11,518.2,120.0,398.20000000000005,first_strike
2024-04-12,510.96999999999997,120.0,390.96999999999997,first_strike
2024-04-15,504.22,120.0,384.22,first_strike
2024-04-16,503.5,120.0,383.5,first_strike
2024-04-17,500.57,120.0,380.57,first_strike
2024-04-18,499.57,120.0,379.57,first_strike
2024-04-19,494.81,120.0,374.81,first_strike
2024-04-22,499.19,120.0,379.19,first_strike
2024-04-23,505.62,120.0,385.62,first_strike
2024-04-24,503.76,120.0,383.76,first_strike
2024-04-25,507.75,120.0,387.75,first_strike
